FID;F_NAME;F_TYPE;ADDRESS;CITY;EASTING;NORTHING;COMMENTS;ZIPCODE;CREATE_DAT;MODIFY_DAT;AUDIT_DATE;geo_shape;geo_point_2d
272;Dollar General;Variety Store;30664 US 72 W Hwy NW;Madison;369636.419909;1546610.02167;Variety Store;35756;;;;"{""coordinates"": [-86.78712872930971, 34.747262490322136], ""type"": ""Point""}";34.747262490322136, -86.78712872930971
236;Pharmacy First;Drugstore;2302 Whitesburg Dr SW;Huntsville;432630.205994;1534679.08195;Drug and General Merchandise;35801;;;;"{""coordinates"": [-86.57716157265409, 34.71594486659738], ""type"": ""Point""}";34.71594486659738, -86.57716157265409
172;Rite Aid;Drugstore;1338 Winchester Rd NE Unit A;Huntsville;449107.47094;1566025.29288;Drug and General Merchandise;35811;;;;"{""coordinates"": [-86.52305253638384, 34.80238916149565], ""type"": ""Point""}";34.80238916149565, -86.52305253638384
292;ALDI;Supermarket;7676 US 72 W Hwy NW;Huntsville;385020.044981;1549484.69211;Grocery;35758;;;;"{""coordinates"": [-86.73611281361067, 34.75580987725604], ""type"": ""Point""}";34.75580987725604, -86.73611281361067
290;Walgreens;Drugstore;7813 US 72 W Hwy;Madison;383324.68912;1548637.95791;Drug and General Merchandise;35758;;;;"{""coordinates"": [-86.7416299443598, 34.75318215113843], ""type"": ""Point""}";34.75318215113843, -86.7416299443598
245;Family Dollar;Variety Store;3407 Pulaski Pke NW;Huntsville;420723.577905;1554591.72093;Variety Store;35810;;;;"{""coordinates"": [-86.61729466627212, 34.770404363163095], ""type"": ""Point""}";34.770404363163095, -86.61729466627212
177;Papa Jack's;Convenience Store;3318 Bob Wallace Ave SW;Huntsville;421899.971877;1533565.33484;Convenience Store;35805;;;;"{""coordinates"": [-86.61283514428798, 34.712661742723284], ""type"": ""Point""}";34.712661742723284, -86.61283514428798
88;Madison County Farmers Market;Produce Market;1022 Cook Ave NW;Huntsville;426150.228797;1544800.42851;Produce;35801;;;;"{""coordinates"": [-86.5989785850123, 34.743618803252794], ""type"": ""Point""}";34.743618803252794, -86.5989785850123
8;Hunter and Potter Grocery;Convenience Store;1476 Joe Quick Rd;New Market;451102.558813;1616157.37471;Grocery;35761;;;;"{""coordinates"": [-86.51754742959017, 34.94015926871918], ""type"": ""Point""}";34.94015926871918, -86.51754742959017
257;Dollar General;Variety Store;2806 Holmes Ave NW;Huntsville;423566.94;1539891.09581;Variety Store;35816;;;;"{""coordinates"": [-86.60745091387426, 34.730076543330924], ""type"": ""Point""}";34.730076543330924, -86.60745091387426
225;Kyles Corner;Convenience Store;307 Andrew Jackson Way NE;Huntsville;432731.758941;1543264.33184;Convenience Store;35801;;;;"{""coordinates"": [-86.5770349155986, 34.73953425006949], ""type"": ""Point""}";34.73953425006949, -86.5770349155986
91;Circle C;Convenience Store;13001 Memorial Pky SE;Huntsville;436964.381053;1490649.10801;Convenience Store;35803;;;;"{""coordinates"": [-86.56168147962833, 34.595061218886954], ""type"": ""Point""}";34.595061218886954, -86.56168147962833
10;Jamos Grocery;Specialty;504 Jordan Lane NW;Huntsville;417772.791155;1538639.33683;Grocery;35805;;;;"{""coordinates"": [-86.62669988642963, 34.72651340547859], ""type"": ""Point""}";34.72651340547859, -86.62669988642963
4;Griner's Supermarket;Supermarket;14470 US 231-431 N Hwy;Hazel Green;435149.314801;1616624.01386;Grocery;35750;;;;"{""coordinates"": [-86.57078414658451, 34.94112984619951], ""type"": ""Point""}";34.94112984619951, -86.57078414658451
227;Lucky Spot;Convenience Store;300 Oakwood Ave NW;Huntsville;429904.460133;1546879.19797;Convenience Store;35811;;;;"{""coordinates"": [-86.58653492870548, 34.749407948706825], ""type"": ""Point""}";34.749407948706825, -86.58653492870548
123;Dollar General;Variety Store;2806 Memorial Pky SW;Huntsville;428625.098847;1531604.55004;Variety Store;35801;;;;"{""coordinates"": [-86.59041067608888, 34.7074157383811], ""type"": ""Point""}";34.7074157383811, -86.59041067608888
36;Dollar General Market;Supermarket;3700 Blue Spring Rd NW;Huntsville;426703.314633;1554642.1726;Grocery;35810;;;;"{""coordinates"": [-86.59738675673027, 34.77066954818599], ""type"": ""Point""}";34.77066954818599, -86.59738675673027
38;Suraj Imports;Specialty;4320 University Dr NW;Huntsville;415576.794563;1542084.03926;Grocery;35816;;;;"{""coordinates"": [-86.63409869364042, 34.73592951781199], ""type"": ""Point""}";34.73592951781199, -86.63409869364042
228;Med Express;Convenience Store;2000 Whitesburg Dr SW;Huntsville;431946.694894;1536040.52313;Convenience Store;35801;;;;"{""coordinates"": [-86.57946940292524, 34.7196714203715], ""type"": ""Point""}";34.7196714203715, -86.57946940292524
155;Shell Food Mart;Convenience Store;2599 Sparkman Dr NW;Huntsville;426386.875961;1551803.40696;Convenience Store;35810;;;;"{""coordinates"": [-86.59836835720427, 34.76286372759896], ""type"": ""Point""}";34.76286372759896, -86.59836835720427
48;The Fresh Market;Supermarket;4800 Whitesburg Dr SW;Huntsville;434650.218686;1525941.11321;Grocery;35802;;;;"{""coordinates"": [-86.57022752041134, 34.691978682305034], ""type"": ""Point""}";34.691978682305034, -86.57022752041134
41;Walmart Supercenter;Supermarket;330 Sutton Road SE;Huntsville;459956.099177;1513204.16263;Grocery;35763;;;;"{""coordinates"": [-86.48577644113783, 34.65746380346288], ""type"": ""Point""}";34.65746380346288, -86.48577644113783
262;Dollar General;Variety Store;5991 Pulaski Pke NW;Huntsville;420935.306156;1562768.63404;Variety Store;35810;;;;"{""coordinates"": [-86.61680210665905, 34.792873939541096], ""type"": ""Point""}";34.792873939541096, -86.61680210665905
159;Drake Chevron;Convenience Store;501 Drake Ave SW;Huntsville;430134.607967;1530675.80715;Convenience Store;35801;;;;"{""coordinates"": [-86.5853655530337, 34.7048951844102], ""type"": ""Point""}";34.7048951844102, -86.5853655530337
49;Thai International Grocery;Specialty;7407 US 72 W Hwy NW;Huntsville;388386.975255;1549691.73369;Grocery;35758;;;;"{""coordinates"": [-86.72481051293981, 34.75620172471091], ""type"": ""Point""}";34.75620172471091, -86.72481051293981
66;Harvest Jiffy Mart;Convenience Store;6297 Al 53 Hwy;Harvest;389745.375425;1586480.46293;Convenience Store;35749;;;;"{""coordinates"": [-86.72137222415195, 34.857304042123644], ""type"": ""Point""}";34.857304042123644, -86.72137222415195
281;CVS;Drugstore;8503 Old Madison Pke;Madison;383227.815954;1531572.04814;Drug and General Merchandise;35758;;;;"{""coordinates"": [-86.74143942374714, 34.706294421911785], ""type"": ""Point""}";34.706294421911785, -86.74143942374714
175;Papa Jack's;Convenience Store;6214 Old Madison Pke NW;Huntsville;407823.300884;1533961.14704;Convenience Store;35806;;;;"{""coordinates"": [-86.65968037552531, 34.71344054155103], ""type"": ""Point""}";34.71344054155103, -86.65968037552531
62;D&D Grocery;Convenience Store;7635 Wall Triana Hwy;Madison;381380.901341;1569028.61988;Convenience Store;35757;;;;"{""coordinates"": [-86.74871871799375, 34.8091525834073], ""type"": ""Point""}";34.8091525834073, -86.74871871799375
100;Airport Road Chevron;Convenience Store;801 Airport Rd SW;Huntsville;433356.944042;1525528.17112;Convenience Store;35802;;;;"{""coordinates"": [-86.57451925506749, 34.69081806060236], ""type"": ""Point""}";34.69081806060236, -86.57451925506749
182;MinitMan;Convenience Store;1604 US 72 E Hwy NE;Huntsville;445090.431074;1555339.90513;Convenience Store;35811;;;;"{""coordinates"": [-86.53618331471473, 34.77295533084266], ""type"": ""Point""}";34.77295533084266, -86.53618331471473
72;Penny Pantry;Convenience Store;6102 US 72 Hwy E;Gurley;491900.155039;1527413.63323;Convenience Store;35748;;;;"{""coordinates"": [-86.37981730961616, 34.69702718981808], ""type"": ""Point""}";34.69702718981808, -86.37981730961616
108;Browns Texaco;Convenience Store;7584 US 72 W Hwy NW;Huntsville;386108.085128;1549705.65197;Convenience Store;35758;;;;"{""coordinates"": [-86.73239681778087, 34.75618418772554], ""type"": ""Point""}";34.75618418772554, -86.73239681778087
230;Mt Gap Food Mart;Convenience Store;2603 Mountain Gap Rd SE Unit A;Huntsville;443137.554074;1501377.46516;Convenience Store;35803;;;;"{""coordinates"": [-86.5414214987815, 34.624658066287246], ""type"": ""Point""}";34.624658066287246, -86.5414214987815
95;Walmart Supercenter;Supermarket;8580 US 72 W Hwy NW;Madison;373718.610891;1547959.87298;Grocery;35757;;;;"{""coordinates"": [-86.77358375069551, 34.75107656223837], ""type"": ""Point""}";34.75107656223837, -86.77358375069551
124;Dollar General;Variety Store;6466 US 431 S Hwy SE Unit 1;Owens Cross Roads;459493.636847;1515903.24811;Variety Store;35763;;;;"{""coordinates"": [-86.48737239533374, 34.664871320446956], ""type"": ""Point""}";34.664871320446956, -86.48737239533374
248;Garden Cove Produce Center Inc;Produce Market;628 Meridian St NW;Huntsville;430164.916962;1542861.29492;Produce;35801;;;;"{""coordinates"": [-86.58556789391795, 34.73837447603146], ""type"": ""Point""}";34.73837447603146, -86.58556789391795
106;Brentwood Market;Convenience Store;25977 Huntsville Browns Ferry Rd NW;Madison;347601.213651;1540592.3362;Convenience Store;35756;;;;"{""coordinates"": [-86.86026402647427, 34.7301341510914], ""type"": ""Point""}";34.7301341510914, -86.86026402647427
125;Dollar General;Variety Store;2210 Meridian St NE;Huntsville;431459.012142;1547677.65307;Variety Store;35811;;;;"{""coordinates"": [-86.58138020262125, 34.751633527268496], ""type"": ""Point""}";34.751633527268496, -86.58138020262125
275;European Market;Specialty;2745 Bob Wallace Ave SW Unit B;Huntsville;425033.70183;1532897.97692;Grocery;35805;;;;"{""coordinates"": [-86.60239186049866, 34.710894494398296], ""type"": ""Point""}";34.710894494398296, -86.60239186049866
158;Sams Mini Mart;Convenience Store;2305 Governors Dr SW;Huntsville;426481.747163;1536024.80498;Convenience Store;35805;;;;"{""coordinates"": [-86.59765316544143, 34.71951550800746], ""type"": ""Point""}";34.71951550800746, -86.59765316544143
136;Walgreens;Drugstore;2784 Carl T Jones Dr SE;Huntsville;443620.136114;1518759.38085;Drug and General Merchandise;35802;;;;"{""coordinates"": [-86.54022281481222, 34.672423870016004], ""type"": ""Point""}";34.672423870016004, -86.54022281481222
166;Fuel City;Convenience Store;8511 Whitesburg Dr SE;Huntsville;435906.330019;1511390.38312;Convenience Store;35802;;;;"{""coordinates"": [-86.56569732068704, 34.652026384736935], ""type"": ""Point""}";34.652026384736935, -86.56569732068704
137;Walgreens;Drugstore;11399 Memorial Pky SE;Huntsville;435757.600002;1503710.98903;Drug and General Merchandise;35803;;;;"{""coordinates"": [-86.56600620755032, 34.63092451193785], ""type"": ""Point""}";34.63092451193785, -86.56600620755032
179;MinitMan;Convenience Store;2003 Meridian St NW;Huntsville;430850.185932;1546936.53086;Convenience Store;35811;;;;"{""coordinates"": [-86.58338839615209, 34.749584895084716], ""type"": ""Point""}";34.749584895084716, -86.58338839615209
149;Texaco University;Convenience Store;4011 University Dr NW;Huntsville;415738.834921;1541598.888;Convenience Store;35816;;;;"{""coordinates"": [-86.63354656809236, 34.73460016534549], ""type"": ""Point""}";34.73460016534549, -86.63354656809236
181;MinitMan;Convenience Store;3315 Governors Dr SW;Huntsville;422266.264124;1536176.38801;Convenience Store;35805;;;;"{""coordinates"": [-86.61168366110539, 34.71984315939412], ""type"": ""Point""}";34.71984315939412, -86.61168366110539
153;Space & Rocket Mini Mart;Convenience Store;6090 Old Madison Pke NW;Huntsville;408327.870085;1533993.23096;Convenience Store;35806;;;;"{""coordinates"": [-86.65800249157435, 34.71354006290075], ""type"": ""Point""}";34.71354006290075, -86.65800249157435
201;Oakwood Exxon;Convenience Store;508 Oakwood Ave NE;Huntsville;432728.2911;1546621.70407;Convenience Store;35811;;;;"{""coordinates"": [-86.57712913272094, 34.74875827914598], ""type"": ""Point""}";34.74875827914598, -86.57712913272094
183;MinitMan;Convenience Store;11900 Memorial Pky SW;Huntsville;435155.446022;1497121.91789;Convenience Store;35803;;;;"{""coordinates"": [-86.56784817026987, 34.612809148772975], ""type"": ""Point""}";34.612809148772975, -86.56784817026987
222;Holmes Mini Mart;Convenience Store;3005 Holmes Ave NW;Huntsville;422636.239106;1539402.95604;Convenience Store;35816;;;;"{""coordinates"": [-86.61053556461083, 34.728715704601456], ""type"": ""Point""}";34.728715704601456, -86.61053556461083
186;MinitMan;Convenience Store;7646 Old Madison Pke NW;Madison;393555.668986;1532403.01203;Convenience Store;35758;;;;"{""coordinates"": [-86.7071049867489, 34.70882859626207], ""type"": ""Point""}";34.70882859626207, -86.7071049867489
237;Holiday Foods;Supermarket;2701 Patton Rd SW Unit A;Huntsville;417971.012872;1533472.19493;Grocery;35805;;;;"{""coordinates"": [-86.6259047923179, 34.712321514427224], ""type"": ""Point""}";34.712321514427224, -86.6259047923179
187;MinitMan;Convenience Store;8212 Bailey Cove Rd SE;Huntsville;443611.016054;1513862.89097;Convenience Store;35802;;;;"{""coordinates"": [-86.54013888274577, 34.65897071395824], ""type"": ""Point""}";34.65897071395824, -86.54013888274577
259;Dollar General;Variety Store;4061 Independence Dr NW;Huntsville;417401.674444;1542734.66296;Variety Store;35816;;;;"{""coordinates"": [-86.62804253835057, 34.73775680991666], ""type"": ""Point""}";34.73775680991666, -86.62804253835057
203;Madison Square Chevron;Convenience Store;5830 University Dr NW;Huntsville;407027.069865;1543815.83107;Convenience Store;35806;;;;"{""coordinates"": [-86.66259987827091, 34.740496986438544], ""type"": ""Point""}";34.740496986438544, -86.66259987827091
204;Little Sam's Discount Mart;Convenience Store;5800 University Dr NW;Huntsville;407289.388894;1543669.23687;Convenience Store;35806;;;;"{""coordinates"": [-86.6617228093703, 34.740100180458015], ""type"": ""Point""}";34.740100180458015, -86.6617228093703
223;In & Out Mini Mart;Convenience Store;30697 US 72 W Hwy NW;Madison;369829.825034;1546963.15712;Convenience Store;35757;;;;"{""coordinates"": [-86.7864961543562, 34.748237687283144], ""type"": ""Point""}";34.748237687283144, -86.7864961543562
18;Kroger;Supermarket;6070 Moores Mill Rd NE;Huntsville;445555.647007;1565378.98807;Grocery;35811;;;;"{""coordinates"": [-86.53486784469992, 34.800545869348255], ""type"": ""Point""}";34.800545869348255, -86.53486784469992
39;Walmart Supercenter;Supermarket;2200 Sparkman Dr NW;Huntsville;428170.137815;1552641.9978;Grocery;35810;;;;"{""coordinates"": [-86.592452708867, 34.765204827608706], ""type"": ""Point""}";34.765204827608706, -86.592452708867
117;Discount Express;Convenience Store;10000 Bailey Cove Rd SE;Huntsville;443485.855871;1509062.2011;Convenience Store;35803;;;;"{""coordinates"": [-86.54044302544332, 34.64577850056327], ""type"": ""Point""}";34.64577850056327, -86.54044302544332
154;Short Stop;Convenience Store;1800 University Dr NW;Huntsville;427196.875982;1543740.095;Convenience Store;35801;;;;"{""coordinates"": [-86.59546819841572, 34.74072748775424], ""type"": ""Point""}";34.74072748775424, -86.59546819841572
162;Express Food Mart;Convenience Store;2119 Clinton Ave SW;Huntsville;426092.05306;1537789.88085;Convenience Store;35805;;;;"{""coordinates"": [-86.59899454257413, 34.72435675760863], ""type"": ""Point""}";34.72435675760863, -86.59899454257413
165;Favorite Market;Convenience Store;8890 US 72 W Hwy NW Unit B;Madison;370150.186926;1547010.117;Convenience Store;35757;;;;"{""coordinates"": [-86.7854313445568, 34.74837503992829], ""type"": ""Point""}";34.74837503992829, -86.7854313445568
191;Mini Mart;Convenience Store;2206 Mastin Lake Rd NW;Huntsville;429180.956987;1554903.09301;Convenience Store;35810;;;;"{""coordinates"": [-86.58914407597712, 34.77143789136076], ""type"": ""Point""}";34.77143789136076, -86.58914407597712
212;Quick Trip;Convenience Store;5160 Blue Spring Rd NW;Huntsville;426582.846042;1562582.223;Convenience Store;35810;;;;"{""coordinates"": [-86.59798912376013, 34.792481416188565], ""type"": ""Point""}";34.792481416188565, -86.59798912376013
231;Neighbor Quick Stop;Convenience Store;3421 Pulaski Pke NW;Huntsville;421079.727127;1554769.40004;Convenience Store;35810;;;;"{""coordinates"": [-86.61611350100542, 34.77090014494569], ""type"": ""Point""}";34.77090014494569, -86.61611350100542
232;Nelco Express;Convenience Store;1109 Slaughter Rd NW;Madison;394135.304966;1539773.24434;Convenience Store;35758;;;;"{""coordinates"": [-86.70538917575111, 34.72909095056808], ""type"": ""Point""}";34.72909095056808, -86.70538917575111
260;Dollar General;Variety Store;4120 Triana Blv SW;Huntsville;422533.822972;1525687.29449;Variety Store;35805;;;;"{""coordinates"": [-86.61052382007472, 34.69103097787989], ""type"": ""Point""}";34.69103097787989, -86.61052382007472
280;CVS;Drugstore;100 Providence Main St NW Unit G;Huntsville;397596.242926;1547366.24195;Drug and General Merchandise;35806;;;;"{""coordinates"": [-86.69408851471515, 34.75003340304449], ""type"": ""Point""}";34.75003340304449, -86.69408851471515
2;Far East Market;Specialty;8108 Memorial Pky SW;Huntsville;434504.244897;1513703.04254;Grocery;35802;;;;"{""coordinates"": [-86.57041512320694, 34.65835223816308], ""type"": ""Point""}";34.65835223816308, -86.57041512320694
